document,quality_raw,quality_unify,quality_all,quality_normal,words_raw,words_unify,words_normal,words_all
CARSAS-42-1,88.1980400435546,89.22479298406886,95.69825860310505,88.28594432599263,119070.0,120358.0,118425.0,126671.0
CARSAS-45-1,85.88376488115766,86.73141390870087,94.08822448921921,85.92295634562832,62258.0,62869.0,61941.0,66590.0
CONOLA-84-1,79.68046383231679,80.68850998339477,89.68404961492767,80.4949124949125,97850.0,99614.0,98888.0,107950.0
CONOLA-84-2,83.8232318463261,84.62136755575223,91.57221381125797,84.46283888536878,124278.0,126206.0,125304.0,134276.0
DESNCA-02-1,78.53918110349976,78.90869424499239,89.89641121311797,78.7531898502576,65237.0,65828.0,65425.0,73244.0
CARSAS-50-1,89.7684279413469,90.32804663142198,95.3475677169707,89.82270398592,131684.0,133270.0,131672.0,137987.0
HISBRE-99-1,91.72671878912662,92.1839333351668,95.96265946938604,91.99689845199524,65935.0,67038.0,66442.0,68977.0
MEMNSE-80-2,87.72506001600426,89.56415943852215,95.22023970747561,87.81860946153333,105242.0,108215.0,105291.0,112497.0
ELEREY-90-1,85.30939239386106,87.8019225167492,94.26578753183689,85.36571128363785,73262.0,75356.0,73120.0,79204.0
ESPDSM-89-2,52.20396627329339,53.99577559594272,75.85105403663813,52.182133291318735,66310.0,69789.0,66240.0,82397.0
ESPDSM-89-3,52.55617671333136,54.32697827135171,75.66328618854882,52.54835367706053,67500.0,70982.0,67460.0,83188.0
FILCIA-76-1,92.68763796909492,93.15117442469864,97.06625592645183,93.03913685296978,77257.0,78206.0,77523.0,80664.0
FISTAL-45-1,76.35749228385649,81.16740489047994,92.76724752878835,79.19530512980728,62591.0,66886.0,64640.0,72826.0
HISBRE-89-1,93.61352055078991,94.38115374905328,97.02343053610085,94.25236171633958,58603.0,59815.0,59264.0,60954.0
HISBRE-90-1,83.31919663142588,84.2940521676344,91.23360630503048,84.06101653917094,55009.0,56037.0,55603.0,59269.0
HISBRE-97-1,91.23617809897488,91.71819720043072,96.10660522751685,91.52791760241615,58830.0,59626.0,59095.0,61736.0
HISGON-98-1,90.51885399232056,90.94265642868812,95.82381729200652,90.8326517258302,55164.0,55666.0,55526.0,58740.0
JUIANA-69-1,83.42176438420952,84.13294924473949,90.96362286562733,83.76034278959811,56444.0,57536.0,56689.0,61264.0
MEMIAS-77-1,92.20811433295933,92.82788803594832,96.7226980855601,92.60660045008424,78068.0,79327.0,78598.0,81190.0
MEMNSE-80-1,89.81036581459414,91.52984046948158,96.27945745245131,89.87593370307441,84111.0,86406.0,84105.0,88942.0
MEMNSE-87-1,89.67712239261736,91.67659669246618,96.24333219838837,89.77337842544634,79879.0,82321.0,79901.0,84800.0
MEDRNA-48-1,67.50647910569,73.61896504871957,88.71337792177093,73.25717101509414,52356.0,56892.0,56493.0,63800.0
MEDRNA-48-2,69.22699740409575,73.18801011610529,88.6609889175696,71.80693929564411,48002.0,50933.0,49587.0,57361.0
MEMRAL-78-1,85.8571212807733,88.34566715201369,95.82738012935737,85.99218252886102,56846.0,58855.0,56760.0,62375.0
MEMRAL-78-2,86.51793954776188,88.73932510335159,95.81809136402212,86.63387820049184,59995.0,62035.0,59890.0,65484.0
MEMRAL-78-3,88.93582355248468,89.6941667909891,96.28081969993679,89.15435634609587,58952.0,60122.0,59145.0,62441.0
MEMRAL-80-1,85.30560963150118,87.49897465343285,95.21646517795426,85.3695658189667,61786.0,64002.0,61700.0,67498.0
MEMRAL-80-2,81.48587975013014,82.2534482479828,92.27292038405982,81.63793103448276,50091.0,50868.0,50191.0,54298.0
MEMRAL-80-3,85.78058175862174,86.59462704487468,96.22455470737914,85.97368740147932,56562.0,57698.0,56722.0,60506.0
MEMRAL-82-1,83.90070369504818,86.25738173078166,94.52796467619848,83.99838617314799,64622.0,66752.0,64541.0,71932.0
MEMRAL-83-1,84.15342019086168,85.13838832222423,94.7934867194268,84.39826912810138,59876.0,61183.0,60073.0,64561.0
MEMRAL-84-1,84.92235833982055,86.98749557305146,94.66297219398766,84.99712667268697,62181.0,63861.0,62121.0,67986.0
MEMRAL-85-1,86.38609761484098,87.20694843386677,95.49857142857144,86.61972801300688,62585.0,63757.0,62866.0,66849.0
MEMRAL-85-2,86.78463080154296,87.5789789707829,95.23600780565062,86.97179715912989,63220.0,64177.0,63372.0,67349.0
MEMRAL-91-1,86.66882356566217,90.04432895139102,95.93227792436235,86.74481097108969,56255.0,58907.0,56169.0,61082.0
NOTICA-48-1,93.41197795396268,93.64232619151728,97.27967442240426,93.46393667359484,126775.0,128496.0,126810.0,130990.0
OBSCIA-95-1,92.6268800219765,92.92498466989166,96.84271507193203,92.8406972919636,67437.0,68193.0,67744.0,70210.0
OBSCIA-97-1,88.90938041681783,89.21738433967742,94.8913131971017,89.12393699994968,88223.0,89113.0,88558.0,93244.0
PRIRID-18-1,85.06552249993538,85.92173176180572,93.98419475456788,85.6642769489117,65822.0,66921.0,66317.0,70881.0
PROION-62-1,90.32743387039416,91.38824611970392,96.15634638525054,90.46268124880082,66042.0,67535.0,66007.0,69522.0
TEASAL-26-1,90.90128452453772,91.56157939474387,95.3279732151278,91.36306569514356,77277.0,78634.0,77866.0,80861.0
TEASAL-28-1,85.88176483890548,86.52358284411581,92.6425579413565,86.30084876726659,72157.0,73250.0,72598.0,77187.0
TEASAL-29-1,92.50146381202109,92.97691802616292,96.24736741336397,92.84615286802384,72671.0,73634.0,73017.0,75405.0
TEASAL-30-1,89.70144246897014,90.6213138310421,95.5145061393024,90.44516477579688,82894.0,84508.0,83707.0,87902.0
TEASAL-33-1,91.19566776646106,91.96947760662664,96.05758848230353,91.72908080989068,76287.0,77499.0,76791.0,80064.0
TEASAL-34-1,88.9607054726742,89.82105825230661,95.60899706507439,89.4726963311477,71020.0,72332.0,71503.0,75577.0
TEASAL-36-1,85.32900472628826,86.02693794692243,94.64287806192378,85.7101894756159,74383.0,75431.0,74729.0,80790.0
